Job_Title,Skills,Education_Level,Preferred_Location,Experience
System Administrator,"DNS, Monitoring, Backup Management, Networking, Shell Scripting, Windows Server",B.Tech,Remote,6
Machine Learning Engineer,"TensorFlow, PyTorch, Model Deployment, Scikit-Learn, AWS",M.Sc,Chennai,5
Database Administrator,"Oracle, PostgreSQL, Performance Tuning, Indexing, Replication, Backup & Recovery",B.Sc,Remote,2
Frontend Developer,"Responsive Design, JavaScript, TypeScript, Redux, Bootstrap, HTML",MBA,Mumbai,5
UI/UX Designer,"Sketch, HTML, Design Thinking, Prototyping",MCA,Remote,4
Cybersecurity Analyst,"Firewalls, Ethical Hacking, Nmap, Kali Linux, Network Security, SIEM, Wireshark",M.Tech,Hyderabad,1
AI Researcher,"TensorFlow, Mathematical Modeling, Data Generation, Python, ML Frameworks, PyTorch",MBA,Mumbai,5
Data Analyst,"Power BI, Pandas, SQL, Statistics, Python, Data Cleaning",M.Tech,Hyderabad,6
Backend Developer,"Express.js, Git, MongoDB, Docker",M.Sc,Mumbai,10
UI/UX Designer,"Responsive Design, CSS, Prototyping, Adobe XD",M.Sc,Delhi,9
Data Scientist,"Matplotlib, Data Visualization, Scikit-Learn, Python, SQL, Pandas",B.Tech,Pune,7
QA Engineer,"Automation Testing, API Testing, Manual Testing, Bug Tracking",MCA,Hyderabad,6
Product Manager,"A/B Testing, Product Strategy, KPIs, Agile, User Stories, Jira",M.Sc,Bangalore,1
Software Engineer,"System Design, Debugging, OOP, Git",MCA,Mumbai,6
IT Project Manager,"Client Communication, Agile, Team Management, Project Planning, Budget Management, Timeline Tracking",MBA,Mumbai,10
Frontend Developer,"Redux, HTML, TypeScript, CSS",B.Tech,Chennai,10
Full Stack Developer,"React, REST APIs, JavaScript, MongoDB, CSS, Git",M.Sc,Mumbai,7
Full Stack Developer,"REST APIs, React, CSS, Node.js, Express.js, JavaScript, Docker",M.Sc,Pune,9
AI Researcher,"Computer Vision, Python, TensorFlow, ML Frameworks, Natural Language Processing, Deep Learning",M.Sc,Remote,0
Machine Learning Engineer,"Deep Learning, Scikit-Learn, TensorFlow, AWS",B.Tech,Bangalore,2
IT Project Manager,"Team Management, Timeline Tracking, Scrum, Budget Management, Agile",B.Sc,Hyderabad,2
IT Project Manager,"Risk Management, Team Management, Timeline Tracking, Agile, Client Communication",MBA,Hyderabad,9
AI Researcher,"Deep Learning, TensorFlow, Research Papers, Computer Vision",B.Sc,Remote,5
Data Analyst,"SQL, Excel, Dashboarding, Data Cleaning, Python, Statistics",MCA,Hyderabad,0
AI Researcher,"Computer Vision, TensorFlow, Natural Language Processing, Python, Deep Learning, ML Frameworks",B.Tech,Chennai,2
Full Stack Developer,"JavaScript, Express.js, Git, REST APIs",MCA,Hyderabad,9
AI Researcher,"Deep Learning, Natural Language Processing, Computer Vision, Python",MBA,Chennai,3
DevOps Engineer,"AWS, Jenkins, Linux, Git, Kubernetes, CI/CD, Docker",B.Sc,Remote,0
Backend Developer,"REST APIs, Docker, Express.js, Git, Spring Boot, MySQL",MBA,Remote,3
HR Executive,"HR Policies, Interview Scheduling, Payroll, HRMS, Onboarding, Compliance, Employee Relations",M.Tech,Delhi,9
System Administrator,"Monitoring, Shell Scripting, Windows Server, DNS, Networking, Virtualization, Firewall",M.Tech,Mumbai,10
Data Analyst,"Excel, Dashboarding, Data Cleaning, Statistics",MBA,Chennai,2
System Administrator,"Shell Scripting, Networking, DNS, Virtualization, Active Directory, Monitoring",MBA,Pune,3
Product Manager,"Stakeholder Management, Scrum, Roadmap Planning, User Stories, Agile, Jira",MBA,Delhi,4
UI/UX Designer,"CSS, Adobe XD, Figma, Sketch",B.Sc,Chennai,2
Cybersecurity Analyst,"Firewalls, Kali Linux, SIEM, Network Security, Vulnerability Assessment, Ethical Hacking, Nmap",B.Sc,Chennai,8
Business Analyst,"Process Modeling, Tableau, Power BI, Documentation, Requirement Gathering, Use Cases, Stakeholder Communication",B.Tech,Remote,2
Frontend Developer,"Next.js, Redux, JavaScript, CSS",M.Tech,Mumbai,4
Technical Support Engineer,"Troubleshooting, Email Support, Networking, Hardware, Ticketing Systems, Documentation",B.Sc,Bangalore,3
Product Manager,"Product Strategy, User Stories, Wireframing, Stakeholder Management, Jira, KPIs, Roadmap Planning",B.Tech,Chennai,4
Full Stack Developer,"React, Git, JavaScript, Node.js, HTML",M.Tech,Mumbai,6
Product Manager,"Scrum, User Stories, Agile, Stakeholder Management, Wireframing, Roadmap Planning",M.Sc,Pune,12
Software Engineer,"Git, Java, SQL, Agile, System Design",MBA,Delhi,5
Full Stack Developer,"MongoDB, React, Docker, Express.js, HTML, Node.js, REST APIs",MBA,Bangalore,7
Technical Support Engineer,"Customer Support, Windows OS, Troubleshooting, Networking, Ticketing Systems, Hardware",B.Sc,Chennai,12
Full Stack Developer,"React, Express.js, CSS, MongoDB, Node.js, Git",M.Sc,Delhi,0
Machine Learning Engineer,"Deep Learning, TensorFlow, PyTorch, Pandas, Python, Model Deployment",M.Sc,Delhi,4
Data Scientist,"Scikit-Learn, NumPy, Statistics, Pandas, Python",MCA,Bangalore,8
Data Scientist,"Data Visualization, TensorFlow, Python, Matplotlib",M.Tech,Pune,10
Data Analyst,"Data Cleaning, Dashboarding, Power BI, Data Modeling",B.Sc,Bangalore,0
Software Engineer,"Git, Algorithms, Data Structures, OOP, Java, Agile, Debugging",MBA,Bangalore,1
Cloud Engineer,"Linux, Docker, Azure, GCP",MBA,Pune,4
Software Engineer,"SQL, Python, Java, System Design, Debugging, OOP, Git",B.Sc,Delhi,9
AI Researcher,"TensorFlow, Natural Language Processing, Data Generation, PyTorch",B.Sc,Remote,5
Database Administrator,"Backup & Recovery, PostgreSQL, SQL Queries, Monitoring",MBA,Chennai,11
Full Stack Developer,"HTML, Express.js, Node.js, MongoDB, REST APIs, React",B.Tech,Bangalore,12
System Administrator,"Windows Server, Monitoring, Virtualization, Active Directory",B.Tech,Remote,1
AI Researcher,"Research Papers, Mathematical Modeling, TensorFlow, Computer Vision, Data Generation, PyTorch",MBA,Mumbai,7
Cybersecurity Analyst,"Firewalls, Nmap, Vulnerability Assessment, Risk Assessment, Network Security, Wireshark",M.Tech,Hyderabad,10
Software Engineer,"SQL, Data Structures, OOP, Python, System Design, Git",M.Tech,Mumbai,1
Cloud Engineer,"AWS, Monitoring, CloudFormation, Kubernetes, GCP, CI/CD",B.Sc,Bangalore,8
HR Executive,"Interview Scheduling, Exit Formalities, Payroll, Onboarding, HRMS, Recruitment",B.Sc,Hyderabad,2
System Administrator,"Backup Management, Windows Server, Shell Scripting, Firewall",M.Tech,Mumbai,10
HR Executive,"Exit Formalities, Interview Scheduling, Payroll, Employee Relations, Compliance, Recruitment, Onboarding",MBA,Hyderabad,8
Full Stack Developer,"MongoDB, Node.js, React, JavaScript, HTML, Git, CSS",MCA,Chennai,4
IT Project Manager,"Budget Management, Reporting, Project Planning, Agile",MBA,Bangalore,1
Product Manager,"A/B Testing, Product Strategy, Stakeholder Management, Scrum",B.Tech,Remote,10
Cybersecurity Analyst,"Ethical Hacking, Network Security, Kali Linux, Incident Response, Nmap, Vulnerability Assessment",B.Tech,Delhi,2
Cybersecurity Analyst,"Nmap, Risk Assessment, SIEM, Incident Response, Firewalls, Vulnerability Assessment, Wireshark",M.Sc,Chennai,3
DevOps Engineer,"Jenkins, Terraform, Monitoring, Git, AWS, Ansible, Kubernetes",MCA,Mumbai,11
System Administrator,"Active Directory, DNS, Windows Server, Firewall, Shell Scripting",MBA,Delhi,3
Data Analyst,"Pandas, Power BI, SQL, Tableau, Dashboarding",B.Tech,Chennai,0
Cybersecurity Analyst,"Kali Linux, Incident Response, Firewalls, SIEM, Nmap, Network Security",B.Sc,Delhi,12
Database Administrator,"Performance Tuning, PostgreSQL, Oracle, SQL Queries",B.Tech,Hyderabad,4
HR Executive,"HRMS, Interview Scheduling, Employee Relations, Onboarding, Attendance Management, Exit Formalities",B.Tech,Chennai,7
Machine Learning Engineer,"Deep Learning, Scikit-Learn, Pandas, PyTorch",B.Tech,Mumbai,2
UI/UX Designer,"User Research, Sketch, CSS, Responsive Design, HTML, Figma",M.Tech,Remote,6
Technical Support Engineer,"Remote Support, Networking, Ticketing Systems, Troubleshooting, Email Support",B.Tech,Pune,5
Machine Learning Engineer,"ML Algorithms, Model Deployment, Pandas, Deep Learning, Python",B.Tech,Bangalore,11
Data Scientist,"TensorFlow, Data Visualization, Pandas, Deep Learning",M.Tech,Delhi,5
HR Executive,"Onboarding, HRMS, Attendance Management, Interview Scheduling",B.Sc,Chennai,9
HR Executive,"Employee Relations, Payroll, Compliance, HR Policies, Onboarding",M.Sc,Remote,10
Database Administrator,"Performance Tuning, SQL Queries, Replication, Oracle, Indexing, Database Security",MBA,Hyderabad,8
Data Scientist,"Pandas, Data Visualization, Python, Scikit-Learn, Statistics, SQL",M.Tech,Remote,11
Business Analyst,"Excel, Requirement Gathering, Documentation, Data Analysis, Process Modeling, Use Cases, Power BI",MCA,Delhi,4
Cloud Engineer,"Terraform, Linux, AWS, Azure, Kubernetes",MBA,Hyderabad,3
Full Stack Developer,"React, Docker, MongoDB, Git",M.Sc,Remote,6
AI Researcher,"Python, Natural Language Processing, TensorFlow, Data Generation, Research Papers, Deep Learning",B.Tech,Mumbai,5
Software Engineer,"Data Structures, System Design, SQL, Algorithms, Git",MBA,Remote,4
Cloud Engineer,"Terraform, Docker, CloudFormation, Kubernetes, GCP",M.Sc,Chennai,8
Backend Developer,"Spring Boot, REST APIs, Docker, MongoDB",B.Sc,Bangalore,3
Full Stack Developer,"MongoDB, Git, JavaScript, Express.js",M.Sc,Chennai,3
Frontend Developer,"Responsive Design, React, Next.js, Redux, Bootstrap, CSS, JavaScript",MCA,Hyderabad,5
HR Executive,"Recruitment, Attendance Management, Onboarding, Payroll, Employee Relations, Exit Formalities, Interview Scheduling",MCA,Mumbai,4
System Administrator,"Firewall, DNS, Shell Scripting, Active Directory",MCA,Mumbai,7
AI Researcher,"Research Papers, Data Generation, Python, Mathematical Modeling, PyTorch",MCA,Hyderabad,10
AI Researcher,"TensorFlow, ML Frameworks, Research Papers, Deep Learning, Python, Natural Language Processing, PyTorch",B.Tech,Hyderabad,4
UI/UX Designer,"User Research, HTML, CSS, Wireframes, Sketch, Figma, Prototyping",M.Sc,Remote,8
Product Manager,"Agile, Scrum, Roadmap Planning, A/B Testing",M.Tech,Bangalore,7
Cybersecurity Analyst,"Incident Response, Nmap, Ethical Hacking, Network Security, Wireshark",M.Sc,Remote,8
QA Engineer,"API Testing, Selenium, Manual Testing, Test Cases, Performance Testing, TestNG, Regression Testing",MCA,Delhi,9
Product Manager,"Scrum, User Stories, A/B Testing, Jira, KPIs, Product Strategy, Roadmap Planning",B.Tech,Mumbai,9
Data Analyst,"SQL, Data Cleaning, Pandas, Python, Data Modeling",B.Sc,Pune,3
System Administrator,"Networking, Windows Server, Monitoring, DNS",MBA,Mumbai,9
Product Manager,"Roadmap Planning, User Stories, Jira, Wireframing",B.Tech,Remote,0
IT Project Manager,"Agile, Risk Management, Budget Management, Project Planning, JIRA, Timeline Tracking, Client Communication",MBA,Chennai,7
QA Engineer,"Performance Testing, Automation Testing, TestNG, Bug Tracking",MCA,Hyderabad,2
Backend Developer,"Java, Express.js, MySQL, Node.js, Spring Boot, Docker",MCA,Pune,7
Business Analyst,"Use Cases, Process Modeling, Documentation, Requirement Gathering, Power BI, Tableau, SQL",B.Tech,Remote,0
Machine Learning Engineer,"Deep Learning, Model Deployment, Keras, AWS",M.Tech,Delhi,5
Backend Developer,"MongoDB, Node.js, MySQL, Docker, REST APIs, Java",B.Sc,Pune,8
DevOps Engineer,"Monitoring, Docker, Terraform, Linux, Git, Jenkins",M.Sc,Bangalore,7
Business Analyst,"Stakeholder Communication, Power BI, Process Modeling, SQL, Data Analysis",MCA,Chennai,7
Data Scientist,"Matplotlib, Pandas, Statistics, SQL, Python, Data Visualization, TensorFlow",M.Tech,Hyderabad,1
UI/UX Designer,"Prototyping, Sketch, Responsive Design, Figma, Design Thinking, HTML",B.Sc,Pune,12
QA Engineer,"Selenium, Manual Testing, TestNG, Automation Testing, Test Cases, Performance Testing, Regression Testing",B.Sc,Chennai,1
DevOps Engineer,"Jenkins, Docker, Ansible, Linux, Terraform, Git",MCA,Remote,10
IT Project Manager,"Team Management, Client Communication, Scrum, Risk Management, Reporting",MBA,Remote,12
Data Scientist,"TensorFlow, SQL, NumPy, Python, Statistics, Pandas",M.Tech,Bangalore,5
UI/UX Designer,"HTML, CSS, Wireframes, Sketch, Responsive Design, Design Thinking",MCA,Mumbai,12
DevOps Engineer,"Terraform, Ansible, CI/CD, Monitoring, Git, Kubernetes",M.Sc,Remote,5
Frontend Developer,"TypeScript, React, Redux, Responsive Design, Bootstrap, HTML",MBA,Remote,6
Full Stack Developer,"Express.js, MongoDB, Git, Docker, HTML, Node.js",MCA,Pune,3
Product Manager,"Roadmap Planning, Scrum, Wireframing, Jira, User Stories, Stakeholder Management",MCA,Bangalore,4
Technical Support Engineer,"Troubleshooting, Customer Support, Networking, Email Support, Hardware, Linux, Windows OS",B.Sc,Delhi,6
Data Analyst,"Tableau, Data Modeling, Pandas, Power BI, Dashboarding, Statistics, Excel",M.Tech,Remote,3
Machine Learning Engineer,"ML Algorithms, Model Deployment, Pandas, Deep Learning, Python, Scikit-Learn, Keras",B.Sc,Bangalore,7
Full Stack Developer,"Docker, Node.js, CSS, JavaScript, MongoDB",M.Sc,Pune,12
System Administrator,"Active Directory, Backup Management, Networking, Linux, Windows Server, Firewall",MCA,Remote,12
Technical Support Engineer,"Email Support, Troubleshooting, Linux, Ticketing Systems, Windows OS",M.Sc,Bangalore,0
Technical Support Engineer,"Linux, Email Support, Ticketing Systems, Troubleshooting",M.Tech,Remote,5
Machine Learning Engineer,"Pandas, Python, TensorFlow, Deep Learning, Keras",B.Sc,Mumbai,3
Product Manager,"KPIs, Scrum, Stakeholder Management, Jira, Wireframing, A/B Testing",MBA,Mumbai,2
Cloud Engineer,"Monitoring, Kubernetes, CI/CD, GCP",MCA,Hyderabad,9
QA Engineer,"Test Cases, JIRA, TestNG, Performance Testing, Bug Tracking, Manual Testing",B.Tech,Bangalore,2
Cybersecurity Analyst,"Incident Response, Firewalls, Wireshark, Risk Assessment, Kali Linux, SIEM, Vulnerability Assessment",MBA,Chennai,4
UI/UX Designer,"User Research, Responsive Design, Wireframes, Sketch, Figma",B.Sc,Hyderabad,1
Cybersecurity Analyst,"SIEM, Firewalls, Ethical Hacking, Risk Assessment, Incident Response",B.Tech,Pune,10
DevOps Engineer,"Linux, Terraform, Kubernetes, Jenkins",B.Sc,Delhi,11
Data Analyst,"Pandas, SQL, Python, Excel, Tableau, Data Cleaning",MCA,Hyderabad,5
Backend Developer,"Node.js, Git, REST APIs, MySQL, Express.js",MBA,Mumbai,12
HR Executive,"HR Policies, HRMS, Exit Formalities, Attendance Management, Payroll",B.Sc,Delhi,5
Data Analyst,"Excel, Power BI, Data Cleaning, Dashboarding, Pandas, Tableau",MCA,Chennai,9
Business Analyst,"SQL, Stakeholder Communication, Power BI, Data Analysis, Use Cases",M.Tech,Pune,0
Business Analyst,"Stakeholder Communication, Data Analysis, SQL, Process Modeling, Excel",MCA,Hyderabad,0
Data Analyst,"Dashboarding, SQL, Excel, Power BI",B.Sc,Delhi,2
IT Project Manager,"Risk Management, Agile, Scrum, Timeline Tracking",MCA,Mumbai,11
IT Project Manager,"JIRA, Risk Management, Scrum, Team Management, Agile, Budget Management",M.Sc,Bangalore,8
Database Administrator,"Oracle, Indexing, MySQL, Replication, Performance Tuning, Backup & Recovery",MCA,Mumbai,2
Data Analyst,"Python, Tableau, Excel, Data Modeling, Data Cleaning, SQL, Statistics",M.Tech,Remote,0
UI/UX Designer,"Wireframes, Responsive Design, CSS, Design Thinking",M.Sc,Hyderabad,12
Cybersecurity Analyst,"Firewalls, Kali Linux, SIEM, Network Security, Wireshark, Nmap",MCA,Mumbai,9
Business Analyst,"SQL, Process Modeling, Use Cases, Excel",M.Tech,Bangalore,4
DevOps Engineer,"Jenkins, CI/CD, Git, Monitoring, Linux, Ansible",B.Sc,Remote,0
QA Engineer,"JIRA, Performance Testing, Automation Testing, Regression Testing",B.Sc,Remote,5
Machine Learning Engineer,"Model Deployment, Pandas, TensorFlow, AWS",MBA,Remote,8
System Administrator,"Windows Server, Virtualization, Shell Scripting, DNS, Networking, Monitoring, Active Directory",B.Sc,Delhi,2
IT Project Manager,"Agile, Scrum, JIRA, Team Management, Project Planning, Client Communication",MBA,Delhi,4
Data Analyst,"Tableau, Dashboarding, Statistics, Pandas, Power BI, SQL",MCA,Delhi,11
Cybersecurity Analyst,"Ethical Hacking, Vulnerability Assessment, Risk Assessment, SIEM, Network Security, Incident Response, Firewalls",M.Tech,Mumbai,5
AI Researcher,"Deep Learning, Computer Vision, ML Frameworks, TensorFlow, Mathematical Modeling",B.Sc,Hyderabad,1
QA Engineer,"Manual Testing, Bug Tracking, Automation Testing, API Testing",M.Tech,Bangalore,12
Database Administrator,"Replication, PostgreSQL, Performance Tuning, Indexing, Oracle",M.Tech,Mumbai,5
UI/UX Designer,"Figma, Prototyping, HTML, Sketch",MBA,Remote,1
HR Executive,"Compliance, Recruitment, Employee Relations, Attendance Management, Onboarding, Exit Formalities",B.Tech,Pune,7
Machine Learning Engineer,"ML Algorithms, Scikit-Learn, TensorFlow, Python, AWS, PyTorch, Model Deployment",B.Tech,Mumbai,9
System Administrator,"Backup Management, Monitoring, DNS, Active Directory, Linux",B.Sc,Mumbai,10
Backend Developer,"Git, MySQL, AWS, Node.js",M.Tech,Hyderabad,4
Full Stack Developer,"JavaScript, Node.js, React, HTML, MongoDB, REST APIs",M.Sc,Bangalore,0
Software Engineer,"SQL, System Design, OOP, Algorithms, Git",MCA,Remote,9
Data Scientist,"Scikit-Learn, Pandas, Python, Data Visualization, Matplotlib, SQL",MBA,Pune,6
UI/UX Designer,"Figma, CSS, User Research, Responsive Design, Prototyping",M.Tech,Bangalore,8
UI/UX Designer,"Prototyping, Wireframes, Adobe XD, Sketch, User Research, Figma",M.Sc,Mumbai,3
DevOps Engineer,"Docker, Kubernetes, AWS, Git, Jenkins",MBA,Hyderabad,5
AI Researcher,"Python, Natural Language Processing, ML Frameworks, TensorFlow",B.Tech,Hyderabad,11
Product Manager,"KPIs, Jira, Roadmap Planning, User Stories, Stakeholder Management, A/B Testing, Product Strategy",M.Sc,Chennai,8
Cybersecurity Analyst,"Risk Assessment, SIEM, Ethical Hacking, Wireshark, Incident Response",B.Sc,Pune,6
HR Executive,"HR Policies, Payroll, Attendance Management, Recruitment, HRMS, Employee Relations",MBA,Remote,2
Product Manager,"Roadmap Planning, A/B Testing, Stakeholder Management, User Stories, Agile",MBA,Bangalore,11
Cloud Engineer,"Terraform, AWS, CloudFormation, Linux, Kubernetes, Monitoring",MCA,Hyderabad,9
Database Administrator,"Indexing, Replication, MySQL, SQL Queries, Performance Tuning, Database Security",MCA,Bangalore,11
QA Engineer,"JIRA, Test Cases, API Testing, Selenium",M.Sc,Delhi,3
Technical Support Engineer,"Customer Support, Remote Support, Hardware, Networking, Documentation, Troubleshooting, Ticketing Systems",B.Sc,Remote,5
Machine Learning Engineer,"AWS, TensorFlow, Deep Learning, Pandas",B.Sc,Hyderabad,12
QA Engineer,"Selenium, JIRA, Test Cases, Bug Tracking, Performance Testing, Regression Testing",M.Tech,Pune,6
Data Scientist,"Pandas, SQL, Deep Learning, Statistics, NumPy",MBA,Pune,12
Database Administrator,"PostgreSQL, Replication, Indexing, Monitoring",MBA,Pune,9
IT Project Manager,"Client Communication, Agile, Reporting, Budget Management, JIRA",M.Sc,Hyderabad,6
Cloud Engineer,"CI/CD, GCP, Azure, Linux",M.Sc,Bangalore,1
QA Engineer,"Bug Tracking, Selenium, JIRA, TestNG, Automation Testing, Manual Testing, Regression Testing",M.Tech,Mumbai,3
Frontend Developer,"CSS, Redux, Next.js, TypeScript, HTML, JavaScript, Bootstrap",MCA,Hyderabad,3
Cybersecurity Analyst,"Wireshark, Kali Linux, Nmap, Risk Assessment, Firewalls, Ethical Hacking, Network Security",MCA,Bangalore,0
AI Researcher,"Deep Learning, ML Frameworks, TensorFlow, Data Generation, Computer Vision",MBA,Pune,10
Cybersecurity Analyst,"Nmap, Vulnerability Assessment, Wireshark, SIEM, Kali Linux",B.Tech,Bangalore,3
Cloud Engineer,"Azure, Docker, Monitoring, CI/CD, GCP",MCA,Hyderabad,9
System Administrator,"Windows Server, Networking, Linux, Active Directory, Firewall, Monitoring, Shell Scripting",MCA,Remote,11
AI Researcher,"PyTorch, Python, Computer Vision, Deep Learning, Data Generation",B.Sc,Pune,2
Data Analyst,"Power BI, Data Cleaning, Data Modeling, Excel, SQL, Python",MBA,Remote,3
DevOps Engineer,"Git, AWS, Linux, Monitoring, Docker, Ansible",B.Tech,Chennai,9
Product Manager,"Stakeholder Management, Jira, Product Strategy, Scrum, Wireframing, User Stories",B.Tech,Mumbai,1
Product Manager,"Stakeholder Management, Scrum, Jira, A/B Testing, Product Strategy, Wireframing",M.Sc,Mumbai,1
Product Manager,"KPIs, A/B Testing, Roadmap Planning, Product Strategy, Jira, Agile",M.Tech,Delhi,3
Full Stack Developer,"Docker, REST APIs, MongoDB, CSS, Git, Express.js",M.Sc,Remote,10
Data Scientist,"TensorFlow, NumPy, Scikit-Learn, Statistics, Data Visualization",B.Sc,Hyderabad,9
Cloud Engineer,"Docker, Terraform, CI/CD, Linux",B.Tech,Hyderabad,8
System Administrator,"Backup Management, Networking, Windows Server, Virtualization, Active Directory",MBA,Pune,0
Backend Developer,"Java, Docker, Spring Boot, Git, Express.js, MySQL, MongoDB",M.Tech,Pune,7
Technical Support Engineer,"Email Support, Linux, Documentation, Troubleshooting, Customer Support, Ticketing Systems",B.Sc,Delhi,9
Data Analyst,"Excel, SQL, Tableau, Statistics, Data Modeling, Pandas, Python",MBA,Mumbai,12
Full Stack Developer,"React, MongoDB, Git, REST APIs",M.Sc,Delhi,10
Data Analyst,"Power BI, Data Modeling, Statistics, Python, Dashboarding, Data Cleaning",MCA,Mumbai,2
HR Executive,"Compliance, HRMS, Interview Scheduling, HR Policies",M.Sc,Bangalore,4
Business Analyst,"Process Modeling, Use Cases, Excel, Requirement Gathering, Tableau",M.Sc,Mumbai,6
Data Scientist,"Deep Learning, Pandas, NumPy, Python, Data Visualization, SQL",MBA,Delhi,0
DevOps Engineer,"Monitoring, AWS, Terraform, Linux, Git, CI/CD",MCA,Chennai,3
UI/UX Designer,"Adobe XD, Sketch, Figma, CSS, HTML",M.Sc,Hyderabad,2
HR Executive,"Payroll, Recruitment, Compliance, Exit Formalities, Attendance Management, HR Policies",MCA,Remote,7
AI Researcher,"Research Papers, PyTorch, Python, Data Generation, ML Frameworks, TensorFlow",B.Sc,Mumbai,3
Software Engineer,"Algorithms, Python, Agile, Data Structures, System Design, SQL",M.Sc,Remote,6
Business Analyst,"Documentation, Tableau, Requirement Gathering, Use Cases, Data Analysis, Power BI",M.Sc,Delhi,12
HR Executive,"Employee Relations, HRMS, Payroll, Compliance, HR Policies, Exit Formalities",M.Sc,Chennai,5
Backend Developer,"REST APIs, Docker, Node.js, Spring Boot, Git, Express.js",M.Tech,Bangalore,0
Technical Support Engineer,"Documentation, Email Support, Networking, Ticketing Systems, Hardware, Windows OS, Customer Support",MCA,Bangalore,6
Data Analyst,"Data Cleaning, Tableau, Excel, Python, Dashboarding, SQL",MCA,Pune,7
System Administrator,"Windows Server, DNS, Networking, Virtualization",MCA,Mumbai,11
DevOps Engineer,"CI/CD, Ansible, Jenkins, Git, AWS",B.Tech,Bangalore,12
System Administrator,"Active Directory, Backup Management, Networking, Windows Server, DNS",MCA,Bangalore,5
Machine Learning Engineer,"ML Algorithms, Pandas, PyTorch, AWS, Keras, Model Deployment, Scikit-Learn",M.Tech,Mumbai,3
Software Engineer,"Data Structures, SQL, Java, Debugging, Python",MBA,Hyderabad,11
HR Executive,"Onboarding, HR Policies, HRMS, Recruitment, Employee Relations, Exit Formalities",M.Tech,Chennai,9
Product Manager,"User Stories, A/B Testing, KPIs, Product Strategy, Scrum",M.Tech,Delhi,1
HR Executive,"Attendance Management, HR Policies, Recruitment, Compliance, Employee Relations, Onboarding, Payroll",B.Sc,Chennai,4
QA Engineer,"TestNG, Test Cases, Performance Testing, API Testing, Selenium",M.Tech,Delhi,12
Data Analyst,"Pandas, Data Modeling, Dashboarding, Power BI, Statistics, Excel",M.Tech,Hyderabad,6
UI/UX Designer,"Design Thinking, Prototyping, Wireframes, Responsive Design, HTML, User Research",M.Tech,Bangalore,11
AI Researcher,"Deep Learning, PyTorch, Research Papers, Natural Language Processing",M.Sc,Chennai,11
Cybersecurity Analyst,"Wireshark, Risk Assessment, Network Security, Incident Response, Ethical Hacking, Nmap",B.Sc,Mumbai,3
Backend Developer,"MySQL, Node.js, Spring Boot, Java, AWS",MBA,Mumbai,9
Software Engineer,"Git, Java, Data Structures, Agile, SQL",B.Sc,Remote,0
QA Engineer,"Performance Testing, Test Cases, Bug Tracking, API Testing, Manual Testing, TestNG, Selenium",M.Tech,Chennai,7
Business Analyst,"Excel, Data Analysis, Documentation, SQL, Stakeholder Communication",M.Tech,Mumbai,9
AI Researcher,"PyTorch, Research Papers, Computer Vision, TensorFlow",M.Tech,Bangalore,12
QA Engineer,"Test Cases, Automation Testing, Performance Testing, Bug Tracking, JIRA, Selenium",M.Sc,Bangalore,12
Technical Support Engineer,"Networking, Customer Support, Email Support, Windows OS, Remote Support",B.Tech,Remote,0
Machine Learning Engineer,"Model Deployment, PyTorch, Python, Pandas, Scikit-Learn",M.Sc,Pune,11
Cybersecurity Analyst,"Ethical Hacking, Firewalls, Incident Response, Nmap, SIEM",MBA,Bangalore,6
Cybersecurity Analyst,"Network Security, Incident Response, Wireshark, Nmap, Firewalls, Risk Assessment",M.Tech,Remote,3
Data Scientist,"Data Visualization, NumPy, Statistics, Scikit-Learn",MBA,Hyderabad,11
UI/UX Designer,"Design Thinking, Figma, Sketch, Prototyping, Wireframes, Responsive Design",M.Tech,Remote,10
Data Analyst,"Pandas, Data Cleaning, SQL, Dashboarding",M.Sc,Remote,8
Cybersecurity Analyst,"Vulnerability Assessment, Firewalls, Network Security, SIEM, Incident Response",M.Tech,Delhi,0
Frontend Developer,"Next.js, React, TypeScript, Bootstrap, CSS",B.Tech,Chennai,9
Data Analyst,"Data Modeling, Python, Tableau, Excel, Statistics",M.Sc,Bangalore,2
Software Engineer,"SQL, Git, OOP, Agile, Debugging",B.Tech,Chennai,4
Backend Developer,"Java, MongoDB, Node.js, Git, AWS, Spring Boot",MCA,Hyderabad,9
Full Stack Developer,"CSS, HTML, JavaScript, Docker, Express.js, React, MongoDB",MBA,Remote,10
Machine Learning Engineer,"Keras, Python, PyTorch, Model Deployment, Pandas, ML Algorithms",M.Tech,Pune,5
UI/UX Designer,"Adobe XD, Sketch, Responsive Design, Prototyping, CSS, Figma, User Research",B.Tech,Bangalore,7
Product Manager,"Wireframing, Stakeholder Management, KPIs, A/B Testing, Roadmap Planning, Agile, Scrum",M.Sc,Pune,2
Database Administrator,"Oracle, Monitoring, Backup & Recovery, Indexing, PostgreSQL, Database Security, MySQL",M.Tech,Bangalore,4
System Administrator,"Monitoring, Firewall, Networking, Backup Management",MBA,Bangalore,1
System Administrator,"Virtualization, Active Directory, Monitoring, Firewall, Linux, Windows Server, Networking",B.Tech,Remote,7
Full Stack Developer,"MongoDB, HTML, REST APIs, Express.js, CSS, React",MCA,Bangalore,8
AI Researcher,"ML Frameworks, Python, Computer Vision, Data Generation, Research Papers, Natural Language Processing",M.Sc,Mumbai,6
Backend Developer,"Docker, REST APIs, Node.js, Spring Boot, MySQL",MCA,Delhi,8
